Hallway Type,Time To Subway St.,Subway Station,No. Facilities Nearby,No. Public Offices Nearby,No. Universities Nearby,No. Parking Lots,Year Built,No. Facilities Inside,Unit Area (sqft),Sale Price (KRW)
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,346017
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,150442
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,61946
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,165486
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,311504
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,118584
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1334,326548
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,143362
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,172566
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,99823
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,211504
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,843,305309
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,145132
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,209734
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,168141
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,644,144752
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,389380
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1334,347787
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,263345
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,207079
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,644,149274
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,200000
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,85132
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,245132
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,256637
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,207964
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,371681
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1629,442477
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,435398
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,75920
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,280530
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,207964
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,371681
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,163716
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,263716
Terraced,5 min - 10 min,Daegu,0,3,2,400,2015,7,644,286725
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,138938
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,156,57522
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,302654
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,391150
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,215176
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,75221
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,476106
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,241592
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,914,411504
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,123008
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,115929
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,269026
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,348672
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,295575
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,676,61946
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,309292
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,442477
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,77876
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,345132
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,323893
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,198230
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,372566
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,164601
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,109734
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,247787
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,158407
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,126548
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,172566
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,146017
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,203539
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,161946
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,183628
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,195575
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,309292
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,331858
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,241592
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,138053
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,218584
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,380530
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,277876
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,63274
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,258079
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,231415
